Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,season,Name
76,76,4/14/2005,20-105,CLE,NYK,1,42:00:00,7,25,0.28,4,13,0.308,9,14,0.643,1,17,18,7,2,2,4,3,27,19.2,season_2,LJ
77,77,4/15/2005,20-106,CLE,WAS,1,48:00:00,16,33,0.485,1,6,0.167,5,8,0.625,2,4,6,6,1,0,1,3,38,25.7,season_2,LJ
78,78,4/17/2005,20-108,CLE,DET,1,45:00:00,12,35,0.343,2,7,0.286,11,14,0.786,3,8,11,6,0,1,1,0,37,24.5,season_2,LJ
79,79,4/19/2005,20-110,CLE,BOS,1,47:00:00,13,27,0.481,2,3,0.667,4,5,0.8,1,7,8,6,5,0,3,3,32,25.7,season_2,LJ
80,80,4/20/2005,20-111,CLE,TOR,1,48:00:00,10,23,0.435,2,8,0.25,5,10,0.5,2,12,14,14,0,1,2,1,27,26,season_2,LJ
1,1,11/2/2005,20-307,CLE,NOK,1,33:23:00,9,16,0.563,6,7,0.857,7,8,0.875,1,2,3,4,2,0,3,3,31,24.9,season_3,LJ
2,2,11/4/2005,20-309,CLE,SAS,1,36:34:00,7,16,0.438,0,3,0,6,7,0.857,0,6,6,4,0,1,3,3,20,12.3,season_3,LJ
3,3,11/5/2005,20-310,CLE,MEM,1,40:51:00,14,29,0.483,4,9,0.444,4,5,0.8,0,2,2,6,2,0,2,2,36,24.9,season_3,LJ
4,4,11/7/2005,20-312,CLE,TOR,1,36:28:00,9,17,0.529,0,2,0,9,12,0.75,0,3,3,6,1,2,1,3,27,22.8,season_3,LJ
5,5,11/9/2005,20-314,CLE,SEA,1,35:38:00,10,18,0.556,0,2,0,11,11,1,1,4,5,1,0,1,4,1,31,21.3,season_3,LJ
6,6,11/11/2005,20-316,CLE,MEM,1,25:40:00,5,11,0.455,0,1,0,6,6,1,1,5,6,2,3,1,3,5,16,12.6,season_3,LJ
7,7,11/13/2005,20-318,CLE,ORL,1,48:54:00,9,20,0.45,1,4,0.25,7,11,0.636,0,5,5,3,0,1,2,2,26,15.5,season_3,LJ
8,8,11/15/2005,20-320,CLE,WAS,1,42:26:00,15,23,0.652,2,3,0.667,5,5,1,1,9,10,4,0,2,3,1,37,31.1,season_3,LJ
9,9,11/18/2005,20-323,CLE,ORL,1,33:56:00,6,17,0.353,0,3,0,4,6,0.667,1,5,6,4,2,0,4,2,16,7.9,season_3,LJ
10,10,11/19/2005,20-324,CLE,PHI,1,46:51:00,14,24,0.583,0,2,0,8,10,0.8,2,9,11,10,1,1,5,1,36,31.4,season_3,LJ
11,11,11/22/2005,20-327,CLE,BOS,1,40:59:00,13,20,0.65,1,3,0.333,9,11,0.818,0,5,5,4,2,2,1,4,36,31.5,season_3,LJ
12,12,11/24/2005,20-329,CLE,IND,1,43:02:00,6,20,0.3,0,4,0,7,11,0.636,1,9,10,4,5,1,6,4,19,10.1,season_3,LJ
13,13,11/26/2005,20-331,CLE,MIN,1,44:04:00,13,29,0.448,6,11,0.545,6,6,1,2,3,5,2,4,0,2,2,38,27.8,season_3,LJ
14,14,11/30/2005,20-335,CLE,LAC,1,49:56:00,7,20,0.35,0,3,0,14,17,0.824,0,7,7,9,1,1,6,1,28,19.3,season_3,LJ
15,15,12/2/2005,20-337,CLE,SEA,1,45:07:00,14,27,0.519,0,5,0,6,8,0.75,0,3,3,8,1,3,1,1,34,28.1,season_3,LJ
16,16,12/3/2005,20-338,CLE,LAC,1,44:41:00,8,25,0.32,3,5,0.6,11,14,0.786,0,5,5,6,1,1,1,3,30,19.7,season_3,LJ
17,17,12/6/2005,20-341,CLE,SAC,1,44:19:00,10,23,0.435,1,5,0.2,9,12,0.75,2,4,6,6,2,3,5,2,30,21.8,season_3,LJ
18,18,12/9/2005,20-344,CLE,NJN,1,44:49:00,11,26,0.423,0,4,0,10,15,0.667,2,4,6,3,0,1,7,3,32,13.4,season_3,LJ
19,19,12/10/2005,20-345,CLE,MIL,1,42:48:00,19,29,0.655,5,9,0.556,9,10,0.9,0,7,7,7,2,0,3,5,52,42.9,season_3,LJ
20,20,12/13/2005,20-348,CLE,ATL,1,45:08:00,13,23,0.565,3,6,0.5,10,16,0.625,0,10,10,6,2,0,6,5,39,26.9,season_3,LJ
21,21,12/15/2005,20-350,CLE,DEN,1,45:06:00,11,18,0.611,1,4,0.25,3,6,0.5,0,4,4,9,1,0,3,3,26,20.9,season_3,LJ
22,22,12/17/2005,20-352,CLE,MIA,1,46:23:00,12,19,0.632,2,4,0.5,15,16,0.938,0,5,5,10,1,0,4,3,41,36.4,season_3,LJ
23,23,12/20/2005,20-355,CLE,UTA,1,28:55:00,8,12,0.667,1,1,1,8,9,0.889,2,4,6,4,3,2,5,1,25,23.8,season_3,LJ
24,24,12/22/2005,20-357,CLE,CHI,1,43:51:00,12,25,0.48,4,6,0.667,9,13,0.692,0,5,5,6,4,0,2,2,37,29.6,season_3,LJ
25,25,12/23/2005,20-358,CLE,IND,1,43:51:00,4,16,0.25,0,1,0,6,11,0.545,1,7,8,9,1,0,3,1,14,9.1,season_3,LJ
26,26,12/26/2005,20-361,CLE,CHI,1,44:58:00,12,25,0.48,0,5,0,8,12,0.667,1,7,8,6,2,2,2,0,32,26.1,season_3,LJ
27,27,12/27/2005,20-362,CLE,NJN,1,40:18:00,12,21,0.571,1,5,0.2,6,9,0.667,1,9,10,8,2,0,4,3,31,25.7,season_3,LJ
28,28,12/31/2005,21-001,CLE,DET,1,44:33:00,11,22,0.5,2,5,0.4,6,7,0.857,1,6,7,7,4,1,5,2,30,24.9,season_3,LJ
